ID;voda;bilkoviny;tuk;popeloviny;sodik;uhlovodik;kalorie;Type
1;54,52;9,85;13,55;2,04;0,47;20,05;2,42;4
2;46,64;21,38;24,96;4,6;0,77;2,42;3,2;2
3;30,96;8,31;13,42;1,49;0,43;45,82;3,37;3
4;30,97;7,6;14,22;1,78;0,45;45,43;3,4;3
5;54,28;10,75;13,87;2,13;0,46;18,97;2,4;4
6;29,89;7,95;15,08;1,45;0,47;45,63;3,5;3
7;54,69;10,32;13,77;2,15;0,48;19,07;2,41;4
8;55,09;9,76;12,31;2,13;0,52;19,72;2,31;4
9;56,24;9,06;11,49;1,93;0,48;21,28;2,25;4
10;56,25;9,96;13,22;2,05;0,46;18,52;2,33;4
11;47,91;22,22;20,4;4,07;0,56;5,4;2,94;2
12;48,97;25,63;19,28;3,48;0,55;2,64;2,87;1
13;47,6;22,07;21,13;4,07;0,72;5,13;2,99;2
14;29,01;26,2;21,01;3,23;0,48;2,45;2,95;1
15;54,74;10,18;12,6;2,06;0,48;20,42;2,36;4
16;29,59;8,05;14,07;1,44;0,45;46,22;3,49;3
17;47,11;26,17;21,29;3,36;0,48;2,07;3,05;1
18;47,03;20,84;25,68;4,52;0,69;1,93;3,22;2
19;48,48;26,76;19,99;3,64;0,46;1,13;2,91;1
20;55,43;10,46;12,37;2,17;0,51;19,57;2,31;4
21;46,88;21,71;23,6;4,59;0,75;3,22;3,12;2
22;29,78;8,2;14,51;1,5;0,5;46,01;3,47;3
23;47,21;25,71;21,12;4,64;0,32;1,05;2,62;1
24;54,64;10,36;12,89;2,21;0,53;19,9;2,37;4
25;29,92;8,11;19,23;1,51;0,48;41,23;3,7;3
26;30,68;8,11;12,92;1,56;0,47;46,73;3,36;3
27;48,84;23,98;23,37;3;0,52;0,81;3,09;1
28;51,59;26,24;16,41;3,61;0,6;2,15;2,61;1
29;30,28;7,76;16,04;1,4;0,42;44,52;3,53;3
30;55,29;9,84;12,91;2,08;0,51;19,88;2,35;4
31;28,66;7,67;16,12;1,41;0,43;46,14;3,6;3
32;57,22;9,66;10,95;2,04;0,47;20,13;2,18;4
33;51,71;24,98;17,2;3,01;0,34;3,1;2,67;1
34;47,43;22,13;21,01;4,09;0,72;5,34;2,99;2
35;48,31;22,49;19,53;4,18;0,62;5,49;2,88;2
36;54,32;10,66;14,04;2,03;0,46;18,95;2,45;4
37;29,79;8,17;14,35;1,49;0,46;46,2;3,46;3
38;47,49;21,75;20,83;4,01;0,67;5,92;2,98;2
39;29,3;8,02;16,34;1,43;0,45;44,91;3,59;3
40;47,53;21,11;21,54;4,02;0,7;5,8;3,02;2
41;48,89;22,95;21,93;5,26;0,85;0,97;2,93;2
42;53,16;11,17;13,83;2,18;0,47;19,66;2,48;4
43;48,81;22,43;18,68;4,1;0,72;5,98;2,82;2
44;28,33;7,82;17,96;1,41;0,45;44,48;3,71;3
45;46,28;21,51;25,44;4,58;0,6;2,19;3,24;2
46;55;11,11;11,3;2,05;0,47;20,54;2,28;4
47;50,11;25,28;16,8;2,84;0,34;3,3;2,35;1
48;27,65;7,78;17,3;1,29;0,4;46,25;3,72;3
49;30,09;7,99;15,16;1,46;0,48;45,3;3,5;3
50;48,4;26,05;21,4;3,44;0,5;0,71;3;1
51;54,06;10,68;13,53;2,04;0,46;19,69;2,43;4
52;47,29;21,48;21,69;4,03;0,67;5,51;3,03;2
53;49,57;26,91;18;2,21;0,41;3,31;2,83;1
54;47,25;23,95;24,24;3,47;0,57;1,09;3,18;1
55;49,1;24,53;21,08;2,84;0,34;2,45;2,98;1
56;49,27;27,42;17,42;3,05;0,33;2,84;2,78;1
57;50,98;26,34;16,47;3,2;0,43;3,01;2,66;1
58;53,84;10,22;13,05;2,07;0,48;20,82;2,42;4
59;48,92;26,32;16,52;3,12;0,24;3,2;2,56;1
60;50,04;24,13;19,75;3,21;0,52;2,87;2,86;1
61;52,19;26;16,64;4,17;0,61;1;2,58;2
62;46,19;21,19;25,18;4,66;0,8;2,78;3,23;2
63;29;7,51;17,78;1,58;0,43;44,13;3,67;3
64;54,36;11,43;13,09;2,24;0,48;18,88;2,39;4
65;48,03;21,96;20,88;4,02;0,7;5,11;2,96;2
66;54,8;10,57;13,42;2,08;0,5;19,13;2,4;4
67;27,93;7,88;17,49;1,44;0,47;45,26;3,96;3
68;54,51;9,93;12,66;2,07;0,53;20,83;2,37;4
69;50,32;25,02;19,96;3,1;0,39;2,62;2,64;1
70;30,53;8,02;14,17;1,49;0,47;45,79;3,43;3
71;46,29;21,43;26;4,71;0,69;1,57;3,26;2
72;49,72;27,31;16,89;3,08;0,25;3;2,73;1
73;49,35;25,23;20,03;3,02;0,44;2,37;2,91;1
74;45,93;21,6;25,87;4,51;0,73;2,09;3,28;2
75;28,93;8,18;19,35;1,39;0,58;42,15;3,75;3
76;47,17;22,29;21,3;4,08;0,74;5,16;3,02;2
77;54,87;10,78;13,65;2,08;0,5;18,62;2,4;4
78;54,43;9,61;12,18;2,16;0,51;21,62;2,35;4
79;53,57;10,73;12,78;2,16;0,48;20,76;2,41;4
80;48,01;21,31;21,05;4,01;0,73;5,62;2,97;2
81;28,34;7,6;18,51;1,45;0,46;44,1;3,73;3
82;30,29;8,09;14,82;1,52;0,51;45,28;3,47;3
83;47,91;26,03;21,54;3,71;0,6;0,81;3,01;1
84;48,88;25,23;20,89;3,22;0,47;1,78;2,96;1
85;52,9;10,19;14,35;2,02;0,49;20,54;2,52;4
86;52,26;26,31;14,77;3,51;0,53;3,15;2,51;1
87;52,22;26,25;16,45;3,92;0,38;1,16;2,58;1
88;48,69;28,48;17,37;3,53;0,43;1,93;2,78;1
89;29,51;7,9;17,65;1,53;0,49;44,3;3,83;3
90;30,15;8,06;12,23;1,5;0,47;48,06;3,35;3
91;29,54;7,79;15,08;1,41;0,45;46,18;3,52;3
92;47,68;21,84;20,45;4,06;0,71;5,97;2,95;2
93;28,36;7,62;19,29;1,45;0,47;43,28;3,77;3
94;29,69;7,63;15,71;1,63;0,46;45,34;3,53;3
95;47,86;22,25;19,53;4,04;0,68;6,32;2,9;2
96;52,19;26;16,64;4,17;0,61;1;2,58;1
97;48,15;27,98;18,69;3,58;0,48;1,7;2,87;1
98;54,54;10,4;13,22;2,1;0,47;19,74;2,4;4
99;54,17;10,67;12,18;2,08;0,49;20,9;2,36;4
100;47,83;25,82;20,79;3,33;0,54;2,23;2,99;1
101;46,91;21,79;21,17;4,06;0,76;6,07;3,02;2
102;48,44;22,73;21,05;5,22;0,98;2,56;2,91;2
103;28,84;7,88;17,21;1,42;0,46;44,65;3,65;3
104;52,75;10,78;12,98;2,12;0,49;21,37;2,45;4
105;29,1;8,07;20,05;1,45;0,45;41,33;3,78;3
106;55,15;10,92;12,51;2,2;0,51;19,22;2,33;4
107;54,17;10,13;13,25;2,07;0,46;20,38;2,41;4
108;54,62;10,92;12,29;2,16;0,47;20,5;2,23;4
109;28,03;7,65;18,39;1,53;0,49;44,4;3,74;3
110;28,46;7,7;18,88;1,4;0,43;43,56;3,75;3
111;30,07;8,02;20,39;1,45;0,45;40,07;3,76;3
112;49,73;25,65;19,98;2,51;0,52;2,13;2,91;1
113;50,18;28,3;15,79;3,47;0,45;2,26;2,64;1
114;47,8;22,36;20,39;4,02;0,7;5,43;2,95;2
115;48,05;22,05;20,57;4,04;0,7;5,29;2,94;2
116;47,45;22,37;20,97;4,06;0,7;5,15;2,99;2
117;53,69;11;15,23;2,25;0,55;17,83;2,52;4
118;49,16;27,99;17,49;3,29;0,39;2,07;2,78;2
119;47,61;22,44;19,61;4,06;0,6;6,28;2,91;2
120;47,73;22,38;21,39;5,21;0,99;3,29;2,95;2
121;47,9;25,55;21,1;3,04;0,43;2,41;3,02; 
122;49,57;25,46;20,79;3,04;0,37;1,14;2,94; 
123;55,6;9,69;13,89;1,99;0,48;18,83;2,39; 
124;28,98;7,7;16,67;1,48;0,47;45,17;3,62; 
125;46,8;20,7;25,1;4,55;0,7;2,85;3,2; 
